gene,rna_col,queries,gs_names
USP24,rna_USP24,ecm_remodelling,GOBP_PROTEOLYSIS
USP27X,rna_USP27X,ecm_remodelling,GOBP_PROTEOLYSIS
USP28,rna_USP28,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
USP29,rna_USP29,ecm_remodelling,GOBP_PROTEOLYSIS
USP3,rna_USP3,ecm_remodelling,GOBP_PROTEOLYSIS
USP30,rna_USP30,ecm_remodelling,GOBP_PROTEOLYSIS
USP31,rna_USP31,ecm_remodelling,GOBP_PROTEOLYSIS
USP32,rna_USP32,ecm_remodelling,GOBP_PROTEOLYSIS
USP33,rna_USP33,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
USP34,rna_USP34,ecm_remodelling,GOBP_PROTEOLYSIS
USP35,rna_USP35,ecm_remodelling,GOBP_PROTEOLYSIS
USP36,rna_USP36,ecm_remodelling,GOBP_PROTEOLYSIS
USP37,rna_USP37,ecm_remodelling,GOBP_PROTEOLYSIS
USP4,rna_USP4,ecm_remodelling,GOBP_PROTEOLYSIS
USP40,rna_USP40,ecm_remodelling,GOBP_PROTEOLYSIS
USP42,rna_USP42,ecm_remodelling,GOBP_PROTEOLYSIS
USP43,rna_USP43,ecm_remodelling,GOBP_PROTEOLYSIS
USP44,rna_USP44,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
USP45,rna_USP45,ecm_remodelling,GOBP_PROTEOLYSIS
USP46,rna_USP46,ecm_remodelling,GOBP_PROTEOLYSIS
USP47,rna_USP47,ecm_remodelling,GOBP_PROTEOLYSIS
USP49,rna_USP49,ecm_remodelling,GOBP_PROTEOLYSIS
USP51,rna_USP51,ecm_remodelling,GOBP_PROTEOLYSIS
USP54,rna_USP54,ecm_remodelling,GOBP_PROTEOLYSIS
USP6,rna_USP6,ecm_remodelling,GOBP_PROTEOLYSIS
USP9Y,rna_USP9Y,ecm_remodelling,GOBP_PROTEOLYSIS
USPL1,rna_USPL1,ecm_remodelling,GOBP_PROTEOLYSIS
VASH1,rna_VASH1,ecm_remodelling; metalloprotease_activity,GOBP_PROTEOLYSIS; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY
VASH2,rna_VASH2,ecm_remodelling; metalloprotease_activity,GOBP_PROTEOLYSIS; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY
VCPIP1,rna_VCPIP1,ecm_remodelling,GOBP_PROTEOLYSIS
VHL,rna_VHL,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
VPS25,rna_VPS25,ecm_remodelling; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_NEGATIVE_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY
VPS28,rna_VPS28,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
VPS36,rna_VPS36,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
VPS37A,rna_VPS37A,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
VPS37B,rna_VPS37B,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
VPS37C,rna_VPS37C,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
VPS4A,rna_VPS4A,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
VPS4B,rna_VPS4B,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WDR77,rna_WDR77,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WDR81,rna_WDR81,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WDR91,rna_WDR91,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WFS1,rna_WFS1,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WNT10B,rna_WNT10B,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WWP1,rna_WWP1,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WWP2,rna_WWP2,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
WWTR1,rna_WWTR1,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
XPNPEP1,rna_XPNPEP1,ecm_remodelling; metalloprotease_activity,GOBP_PROTEOLYSIS; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY
XPNPEP2,rna_XPNPEP2,ecm_remodelling; metalloprotease_activity,GOBP_PROTEOLYSIS; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY
XPO1,rna_XPO1,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
YIPF5,rna_YIPF5,ecm_remodelling,GOBP_PROTEOLYSIS
YME1L1,rna_YME1L1,ecm_remodelling; metalloprotease_activity,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOMF_METALLOENDOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY
YOD1,rna_YOD1,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
YPEL5,rna_YPEL5,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZFAND2B,rna_ZFAND2B,ecm_remodelling; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZMPSTE24,rna_ZMPSTE24,ecm_remodelling; metalloprotease_activity,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOMF_METALLOENDOPEPTIDASE_ACTIVITY; GOMF_METALLOEXOPEPTIDASE_ACTIVITY; GOMF_METALLOPEPTIDASE_ACTIVITY
ZNF418,rna_ZNF418,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS; GOBP_REGULATION_OF_PROTEOLYSIS; GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZNF574,rna_ZNF574,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZNF598,rna_ZNF598,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZNRF1,rna_ZNRF1,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZNRF2,rna_ZNRF2,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZNRF3,rna_ZNRF3,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZNRF4,rna_ZNRF4,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ZRANB1,rna_ZRANB1,ecm_remodelling,GOBP_PROTEOLYSIS; GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
ANGPTL7,rna_ANGPTL7,ecm_remodelling,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
LAMA1,rna_LAMA1,ecm_remodelling,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
LAMB1,rna_LAMB1,ecm_remodelling,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
NID1,rna_NID1,ecm_remodelling,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION; GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
PRDM5,rna_PRDM5,ecm_remodelling,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
TCF15,rna_TCF15,ecm_remodelling,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
ZNF469,rna_ZNF469,ecm_remodelling,GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION
CER1,rna_CER1,ecm_remodelling,GOBP_SEQUESTERING_OF_BMP_IN_EXTRACELLULAR_MATRIX
DAND5,rna_DAND5,ecm_remodelling,GOBP_SEQUESTERING_OF_BMP_IN_EXTRACELLULAR_MATRIX
NBL1,rna_NBL1,ecm_remodelling,GOBP_SEQUESTERING_OF_BMP_IN_EXTRACELLULAR_MATRIX
C1QL1,rna_C1QL1,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QL2,rna_C1QL2,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QL3,rna_C1QL3,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QL4,rna_C1QL4,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QTNF1,rna_C1QTNF1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_COLLAGEN_BINDING
C1QTNF2,rna_C1QTNF2,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QTNF6,rna_C1QTNF6,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QTNF7,rna_C1QTNF7,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QTNF8,rna_C1QTNF8,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QTNF9,rna_C1QTNF9,ecm_remodelling,GOCC_COLLAGEN_TRIMER
C1QTNF9B,rna_C1QTNF9B,ecm_remodelling,GOCC_COLLAGEN_TRIMER
COL10A1,rna_COL10A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_NETWORK_FORMING_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL13A1,rna_COL13A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL15A1,rna_COL15A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL16A1,rna_COL16A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_FACIT_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL18A1,rna_COL18A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL19A1,rna_COL19A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL20A1,rna_COL20A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER
COL21A1,rna_COL21A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL22A1,rna_COL22A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL23A1,rna_COL23A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL24A1,rna_COL24A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_FIBRILLAR_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL25A1,rna_COL25A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL27A1,rna_COL27A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_FIBRILLAR_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL6A2,rna_COL6A2,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COLLAGEN_TYPE_VI_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_VON_WILLERBRAND_FACTOR_A_DOMAIN_RICH_COLLAGEN_TRIMER; GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL6A3,rna_COL6A3,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COLLAGEN_TYPE_VI_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_VON_WILLERBRAND_FACTOR_A_DOMAIN_RICH_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL6A6,rna_COL6A6,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COLLAGEN_TYPE_VI_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_VON_WILLERBRAND_FACTOR_A_DOMAIN_RICH_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL9A1,rna_COL9A1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_FACIT_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL9A2,rna_COL9A2,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_FACIT_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COL9A3,rna_COL9A3,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOCC_COMPLEX_OF_COLLAGEN_TRIMERS; GOCC_FACIT_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_TENSILE_STRENGTH
COLEC12,rna_COLEC12,ecm_remodelling,GOCC_COLLAGEN_TRIMER
COLQ,rna_COLQ,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
CTHRC1,rna_CTHRC1,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
EMID1,rna_EMID1,ecm_remodelling,GOCC_COLLAGEN_TRIMER
EMILIN2,rna_EMILIN2,ecm_remodelling,GOCC_COLLAGEN_TRIMER; GOMF_EXTRACELLULAR_MATRIX_CONSTITUENT_CONFERRING_ELASTICITY; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
GLDN,rna_GLDN,ecm_remodelling,GOCC_COLLAGEN_TRIMER
OTOL1,rna_OTOL1,ecm_remodelling,GOCC_COLLAGEN_TRIMER
SCARA3,rna_SCARA3,ecm_remodelling,GOCC_COLLAGEN_TRIMER
SFTPA1,rna_SFTPA1,ecm_remodelling,GOCC_COLLAGEN_TRIMER
SFTPA2,rna_SFTPA2,ecm_remodelling,GOCC_COLLAGEN_TRIMER
SFTPD,rna_SFTPD,ecm_remodelling,GOCC_COLLAGEN_TRIMER
WDR33,rna_WDR33,ecm_remodelling,GOCC_COLLAGEN_TRIMER
BCAN,rna_BCAN,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX
EYS,rna_EYS,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
HAPLN1,rna_HAPLN1,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE
HAPLN3,rna_HAPLN3,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX
HAPLN4,rna_HAPLN4,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
IMPG1,rna_IMPG1,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
IMPG2,rna_IMPG2,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
NCAN,rna_NCAN,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX
OVGP1,rna_OVGP1,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX
PTPRZ1,rna_PTPRZ1,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX
RTBDN,rna_RTBDN,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX
TNR,rna_TNR,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOCC_SYNAPSE_ASSOCIATED_EXTRACELLULAR_MATRIX
ZP1,rna_ZP1,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
ZP2,rna_ZP2,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
ZP4,rna_ZP4,ecm_remodelling,GOCC_SPECIALIZED_EXTRACELLULAR_MATRIX; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
ACHE,rna_ACHE,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_BINDING
COCH,rna_COCH,ecm_remodelling,GOMF_COLLAGEN_BINDING
DSPP,rna_DSPP,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
ECM2,rna_ECM2,ecm_remodelling,GOMF_COLLAGEN_BINDING
HSD17B12,rna_HSD17B12,ecm_remodelling,GOMF_COLLAGEN_BINDING
ITGA1,rna_ITGA1,ecm_remodelling; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_COLLAGEN_BINDING; GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION
ITGA10,rna_ITGA10,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_COLLAGEN_BINDING_INVOLVED_IN_CELL_MATRIX_ADHESION
LACRT,rna_LACRT,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_BINDING
LRRC15,rna_LRRC15,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_BINDING
NID2,rna_NID2,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
PAK1,rna_PAK1,ecm_remodelling; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_COLLAGEN_BINDING
PCOLCE2,rna_PCOLCE2,ecm_remodelling,GOMF_COLLAGEN_BINDING
PDGFA,rna_PDGFA,ecm_remodelling; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_COLLAGEN_BINDING
PDGFB,rna_PDGFB,ecm_remodelling; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOMF_COLLAGEN_BINDING
PODN,rna_PODN,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE
PPIB,rna_PPIB,ecm_remodelling,GOMF_COLLAGEN_BINDING
RELL2,rna_RELL2,ecm_remodelling,GOMF_COLLAGEN_BINDING
SPARC,rna_SPARC,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
TGFBI,rna_TGFBI,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
USH2A,rna_USH2A,ecm_remodelling,GOMF_COLLAGEN_BINDING
VWF,rna_VWF,ecm_remodelling,GOMF_COLLAGEN_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
ADAMTSL5,rna_ADAMTSL5,ecm_remodelling,GOMF_EXTRACELLULAR_MATRIX_BINDING
AGRN,rna_AGRN,ecm_remodelling,GOMF_EXTRACELLULAR_MATRIX_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT
AMBP,rna_AMBP,ecm_remodelling,GOMF_EXTRACELLULAR_MATRIX_BINDING
BCAM,rna_BCAM,ecm_remodelling,GOMF_EXTRACELLULAR_MATRIX_BINDING
BGN,rna_BGN,ecm_remodelling,GOMF_EXTRACELLULAR_MATRIX_BINDING; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE
CD248,rna_CD248,ecm_remodelling,GOMF_EXTRACELLULAR_MATRIX_BINDING; GOMF_EXTRACELLULAR_MATRIX_PROTEIN_BINDING
