gene,rna_col,queries,gs_names
HAVCR2,rna_HAVCR2,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
HBA1,rna_HBA1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
HBA2,rna_HBA2,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
HBB,rna_HBB,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
HCK,rna_HCK,inflammatory_response; kinase_activity; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOMF_NON_MEMBRANE_SPANNING_PROTEIN_TYROSINE_KINASE_ACTIVITY; GOMF_PROTEIN_TYROSINE_KINASE_ACTIVITY
HDAC4,rna_HDAC4,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
HDAC5,rna_HDAC5,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
HDAC9,rna_HDAC9,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
HGF,rna_HGF,ecm_remodelling; inflammatory_response; kinase_signalling,GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY; GOBP_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_PROTEOLYSIS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
HK1,rna_HK1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
HLA-DRB1,rna_HLA-DRB1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_NEGATIVE_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS; HP_INCREASED_INFLAMMATORY_RESPONSE
HMGB1,rna_HMGB1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
HMGB2,rna_HMGB2,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS
HNRNPA0,rna_HNRNPA0,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
HRH1,rna_HRH1,hallmark_inflammation; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HALLMARK_INFLAMMATORY_RESPONSE
HRH4,rna_HRH4,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
HSPA12A,rna_HSPA12A,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
HSPA8,rna_HSPA8,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE
HSPG2,rna_HSPG2,ecm_remodelling; inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT; GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT_CONFERRING_COMPRESSION_RESISTANCE
HTR2A,rna_HTR2A,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE; GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE
HYAL1,rna_HYAL1,inflammatory_response,GOBP_INFLAMMATORY_RESPONSE; HP_INCREASED_INFLAMMATORY_RESPONSE
