gene_feature,p_value
rna_TRIB3,4.089468507896867e-8
rna_CDK1,4.094698495063207e-8
rna_AGAP3,4.211157494507263e-8
rna_MATN1,4.2324114599812596e-8
rna_METRNL,4.279889527744332e-8
rna_FCER1A,4.3607694869302903e-8
rna_AGER,4.724615673555815e-8
rna_SORL1,4.805339928683421e-8
rna_DNAJB11,4.8939912727581726e-8
rna_FAM20A,4.943683608958673e-8
rna_PTK6,4.974867027255345e-8
rna_RTEL1,5.000043509625583e-8
rna_EDA,5.2067620574349e-8
rna_TOM1L1,5.269849279418473e-8
rna_APC,5.357496089063529e-8
rna_KCTD13,5.3941475271897036e-8
rna_LOXL1,5.498774927666978e-8
rna_VIL1,5.7379483736431745e-8
rna_UBE2I,5.799372880696475e-8
rna_PSMB4,5.8906936099659156e-8
rna_RUNX1,6.011171249832639e-8
rna_IRF7,6.503631090590012e-8
rna_ASRGL1,6.537381892934557e-8
rna_MMP17,6.672846964920824e-8
rna_PLG,6.810889639423902e-8
rna_PPIB,6.813511969467361e-8
rna_KCTD5,6.976180923366322e-8
rna_MYLIP,7.067185533302948e-8
rna_MTSS1,7.671633709853767e-8
rna_RTL1,7.833757828956559e-8
rna_SHARPIN,8.145527431887147e-8
rna_TNFSF14,8.412944483856742e-8
rna_KLHL32,8.454488890162953e-8
rna_PSME2,8.584856601528277e-8
rna_INSR,8.803776729315036e-8
rna_CTNNB1,9.00577211056331e-8
rna_CTRC,9.152053364615064e-8
rna_IL6,9.764291937673259e-8
rna_ADORA2B,9.986408736939193e-8
rna_AGBL2,1.011699634609739e-7
rna_CSNK1D,1.0130745843843648e-7
rna_UNC119,1.0211769392575971e-7
rna_FBXW10,1.0644854501331e-7
rna_PSENEN,1.0802384259889732e-7
rna_RHBDF2,1.0892899346189565e-7
rna_APLNR,1.1189145813260682e-7
rna_CPNE1,1.1553356090394825e-7
rna_HECW2,1.198769823047612e-7
rna_HM13,1.2220322765404147e-7
rna_USP8,1.295016332861838e-7
rna_APOL2,1.3353252600344942e-7
rna_KAT5,1.3425332253661796e-7
rna_TGFBR3,1.3573630107882536e-7
rna_COL11A1,1.381254614118077e-7
rna_FKBP10,1.4243549553958173e-7
rna_IL6R,1.4505035724963444e-7
rna_CLCN7,1.4759528553028952e-7
rna_OSCAR,1.5168544751534642e-7
rna_SIK2,1.5188317711419358e-7
rna_ZNF341,1.524456447698574e-7
rna_CLN5,1.563070103797143e-7
rna_RHBDL2,1.6450064812206244e-7
rna_IL23A,1.6657194673103444e-7
rna_PODNL1,1.667833478102987e-7
rna_TNFRSF1A,1.7006271178243175e-7
rna_KDSR,1.771867337188348e-7
rna_PDE2A,1.8266443762340044e-7
rna_CIB1,1.8574466133734587e-7
rna_CRK,1.893398848846857e-7
rna_TRAF5,1.91363921618392e-7
rna_IPP,1.9322986402879703e-7
rna_HMGB2,2.0139447433017904e-7
rna_CYSLTR1,2.1556871585370237e-7
rna_RPS6KA4,2.1655243357227253e-7
rna_MELK,2.1830893049121408e-7
rna_KRT5,2.2274823307746416e-7
