query,gs_name,gene_symbol
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,AMELX
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,BMP4
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CIITA
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,COL1A1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,COL1A2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,COL5A1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,COL6A1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CREB3L1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CST3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CTSB
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CTSK
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CTSL
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CTSS
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CYGB
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,CYP7A1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,DDR2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,EMILIN1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ERRFI1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,F2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,F2R
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,FAP
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,FOSL2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,FURIN
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,GOT1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,HIF1A
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ID1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,IHH
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,IL6
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,IL6R
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,INHBA
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ITGA2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,ITGB1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,KLF15
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,KLK6
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,LARP6
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MFAP4
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MIR145
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MIR149
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MIR21
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MIR218-1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MIR29A
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MIR29B1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MIR92A1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP10
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP11
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP12
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP13
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP14
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP15
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP16
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP17
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP19
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP20
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP21
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP23B
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP24
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP25
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP26
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP27
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP28
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP3
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP7
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP8
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MMP9
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,MRC2
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,NAGLU
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,NOTCH1
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,NPPC
ecm_remodelling,GOBP_COLLAGEN_METABOLIC_PROCESS,P2RX7
