feature,n,events,hazard_ratio,conf_low,conf_high,p_value,p_adjust_bh,abs_log_hr
AKT1_AKT2_AKT3_Akt_pS473,454,158,0.7894034530995757,0.6614748142555748,0.9420733765454657,0.00875555270968436,0.023226535660412675,0.23647774142855724
RPS6KA1_p90RSK_pT359_S363,454,158,0.7992690993671266,0.6705383176238634,0.9527137769947523,0.01239883914449551,0.03244079830957044,0.22405759471572367
PCNA_PCNA,454,158,1.211763197333681,1.0410242611713092,1.4105051161441788,0.013181500405765384,0.034022521317583626,0.19207648681973755
XBP1_XBP1,454,158,1.213559550690221,1.0393289106779435,1.4169978030446653,0.014373150439138416,0.03660362311833917,0.19355781847878228
CHEK1_Chk1,454,158,1.184189612604318,1.0338881515165836,1.3563411443906768,0.014638612607699303,0.03678914484303377,0.1690586694205214
PIK3R1_PIK3R2_PI3K_p85,454,158,1.2341276454970915,1.0396259315084648,1.4650183294007169,0.016213562913192342,0.04021805865480178,0.2103643605688475
ESR1_ER_alpha,454,158,0.7942728267863319,0.6578992819361533,0.9589147468204321,0.01655392374722833,0.0405358902015463,0.23032826619345995
ACVRL1_ACVRL1,454,158,0.8178880883023533,0.6936436090707991,0.9643870659790079,0.016787927588033397,0.040588533788789606,0.20102976310523493
CCNE1_Cyclin_E1,454,158,1.2000501273814168,1.028420505238806,1.400322437069406,0.020566766236096476,0.04910315438868034,0.1823633287393421
LCK_Lck,454,158,1.2086567487222497,1.029209294700275,1.4193917056076206,0.020829104826813983,0.04911554348051198,0.18950961794052124
SRC_Src,454,158,1.1957651056322767,1.026751090502001,1.392600603081593,0.02147605471344212,0.050023493295944445,0.17878623626642687
FN1_Fibronectin,454,158,1.1907188457102926,1.0245972304591366,1.3837743528686979,0.02279049942885116,0.052445607119404485,0.17455719677083067
RPTOR_Raptor,454,158,1.177666391100045,1.0189915544354167,1.361049679646295,0.02677688133216034,0.06088552779098363,0.1635348457151362
NRAS_N_Ras,454,158,0.8295458030328178,0.702704964790746,0.9792818804607152,0.027297280369491014,0.061338594712620986,0.1868769532355479
BCL2L1_Bcl_xL,454,158,1.1826594619051167,1.017337172801369,1.3748474352728555,0.02898453536337305,0.06437263086516573,0.1677656837976882
NRG1_Heregulin,454,158,0.8316964414539245,0.7044957224662011,0.9818639754201024,0.02954920525877998,0.06487239315433305,0.1842877587580764
RPS6_S6_pS240_S244,454,158,1.1813257606813232,1.0120069432800995,1.3789732986674352,0.034757059131777804,0.07543861697919955,0.16663733379570544
WWTR1_TAZ,454,158,1.1632511834182673,1.0073459940150569,1.3432855481269466,0.03943169904502064,0.08462308446740385,0.15121882907996476
CDH1_E_Cadherin,454,158,0.834831181735284,0.7002371934359233,0.9952957491129127,0.04416393866675139,0.09358965230230246,0.1805257521344542
RAB25_Rab25,454,158,0.8408257726812784,0.7098443933981604,0.995976000628226,0.04478879572384647,0.09358965230230246,0.1733708073186737
BAD_Bad_pS112,454,158,1.1791144336594421,1.0036197271535399,1.3852964524792855,0.045079832522575004,0.09358965230230246,0.16476367677689618
MAP2K1_MEK1_pS217_S221,454,158,0.8342473821549607,0.6926915259391582,1.0047310650852899,0.05610572066334747,0.11400204943297199,0.18122529931786566
PDK1_PDK1,454,158,0.8464812163934929,0.7134565339020412,1.004308483641119,0.05604603488198919,0.11400204943297199,0.16666726738521606
MAPK14_p38_pT180_Y182,454,158,0.8634497121531658,0.7408505603215475,1.0063371013633298,0.06022910630720859,0.12109220320712465,0.14681962031978532
CDKN1B_p27_pT157,454,158,0.843320228252252,0.7052855726172412,1.0083702758022997,0.06168347113019676,0.1227244061027873,0.17040852567125764
GATA3_GATA3,454,158,1.1657057251722043,0.9914498957087957,1.3705885124207786,0.06345071583694281,0.12493903840057811,0.1533266762914622
PXN_Paxillin,454,158,0.8616469223281514,0.7345388014610665,1.0107504427006466,0.06745201267550506,0.13146259613287212,0.14890969509618626
GSK3A_GSK3B_GSK3_alpha_beta_pS21_S9,454,158,0.8720724769631201,0.750736068652713,1.0130196707365078,0.0733355964991988,0.14148584779138354,0.1368827427436882
IRS1_IRS1,454,158,1.1592353716367425,0.9857190427512199,1.3632958161212447,0.07408392002485059,0.14150028724746463,0.14776062539311693
TGM2_Transglutaminase,454,158,1.1487044588565545,0.9858183053272778,1.3385041915597893,0.07558557316820774,0.14293905420918493,0.13863474981621426
DIRAS3_DIRAS3,454,158,0.8671783065720661,0.739658320208716,1.0166832371695598,0.07907448810839945,0.14807085518337545,0.14251066409388888
NF2_NF2,454,158,0.867537962778449,0.7389761636283152,1.018466026246998,0.08249798199810472,0.1529816947731845,0.14209600699071795
STMN1_Stathmin,454,158,1.1555841587100626,0.9784086320220607,1.364843588002537,0.08858419028828761,0.1611388604291708,0.1446059812346257
MAPK1_ERK2,454,158,0.8841926194698547,0.767615704260314,1.0184739368748508,0.08796987179471383,0.1611388604291708,0.12308034475234274
MTOR_mTOR,454,158,0.8608945359715662,0.7236722666395428,1.024136803676706,0.09088547422730857,0.16220467045906956,0.14978327221772125
JUN_c_Jun_pS73,454,158,0.8610582576909335,0.7229898260736893,1.0254934390489998,0.09341630235862645,0.16220467045906956,0.14959311402004802
COL6A1_Collagen_VI,454,158,0.8639028220063791,0.7289816579613243,1.023795424370172,0.09130870460197961,0.16220467045906956,0.14629499103346943
TP53BP1_53BP1,454,158,1.1506904226382024,0.9773540618083554,1.3547684513648839,0.09199161761621254,0.16220467045906956,0.14036212973816456
AKT1_AKT2_AKT3_Akt_pT308,454,158,1.1416502351863864,0.9782842083195818,1.332297146797399,0.09270097700893795,0.16220467045906956,0.1324747904050336
TP53_p53,454,158,1.1502401649393599,0.9724612672201924,1.3605194177262279,0.10226394861426844,0.17527858890406564,0.13997075964901837
CCNE2_Cyclin_E2,454,158,1.1328198520539972,0.9752067339691567,1.3159064355355723,0.10278116207987095,0.17527858890406564,0.12470996856894247
SMAD3_Smad3,454,158,1.1475019833283195,0.9685927336468729,1.3594576502599371,0.11161713073690477,0.18866258381193637,0.1375873913417619
EIF4EBP1_4E_BP1_pS65,454,158,0.8780307674965387,0.7450610313674874,1.0347313793281858,0.1205497767840777,0.20197374882244598,0.13007364325423776
SMAD4_Smad4,454,158,0.8541003002753731,0.6992476858117259,1.0432459595252754,0.1223076204208241,0.20313700435110785,0.15770664446075752
RPS6_S6_pS235_S236,454,158,1.1311353368182477,0.9657060265930063,1.3249033504666714,0.1266592619742131,0.20855102618167845,0.12322185117607937
STAT5A_STAT5_alpha,454,158,0.8824647335943682,0.750427296735887,1.037734114184093,0.13052138050580026,0.21307336475733205,0.1250364529059118
GSK3A_GSK3B_GSK3_pS9,454,158,0.8879388719021007,0.7591280870880773,1.0386065983398365,0.13720815733224864,0.2220911699191482,0.11885237630749203
ATM_ATM,454,158,0.8886468168667293,0.7588891207645899,1.0405909684562944,0.1426746085507413,0.2289987414553915,0.11805540377014033
STAT3_STAT3_pY705,454,158,0.8884287875853099,0.7572398053882088,1.0423457734180466,0.1467232901665341,0.23353457018173343,0.1183007836312641
EIF4G1_eIF4G,454,158,1.1390691530713704,0.9544550651971418,1.3593919533663286,0.1489415172431817,0.23416007745348213,0.1302113964687157
YAP1_YAP,454,158,1.1170724792845435,0.9609184939112609,1.2986022559475825,0.14956821701217182,0.23416007745348213,0.11071140543455435
CDK1_CDK1,454,158,1.1148340636380325,0.9601491927939142,1.294439446260571,0.15376345224552448,0.23877088925931036,0.10870557198771363
BRAF_B_Raf,454,158,0.888529773177196,0.7537472664562214,1.0474136264986025,0.15911133261432875,0.24508277846239346,0.11818712246411625
CCND1_Cyclin_D1,454,158,0.8914055544434558,0.75888491342548,1.047067675790174,0.1615503353983114,0.24684891248861981,0.11495578734319449
RPS6KB1_p70S6K,454,158,1.1218873388588915,0.9519214683702782,1.3222006677154834,0.17002375045701373,0.25773441537531444,0.11501239105977724
MET_c_Met_pY1235,454,158,1.1280008827062111,0.942847529165993,1.349514053997146,0.18795703931884442,0.2804671446085881,0.12044693561652828
CAV1_Caveolin_1,454,158,1.1152198671459737,0.948300418805036,1.3115204078938432,0.18741578039397946,0.2804671446085881,0.10905157573808438
CDH2_N_Cadherin,454,158,0.8888447008583206,0.7453556137784122,1.0599570025896268,0.18960487315471297,0.28073279668643547,0.11783274842643209
BAP1_Bap1_c_4,454,158,0.8993314386540107,0.7666726160884604,1.0549444698807031,0.1925507291871237,0.2829014559595433,0.106103637644575
XRCC1_XRCC1,454,158,1.109173637537301,0.9477358896850605,1.2981107622890107,0.1966711409094177,0.28674952605876936,0.10361526738121002
EIF4EBP1_4E_BP1_pT70,454,158,1.0887267674184011,0.9545972512397605,1.241702689331975,0.20505739130182216,0.2967118313533942,0.0850089101907939
