sample_id,score_ecm_remodelling_mean,score_ecm_remodelling,score_hallmark_inflammation_mean,score_hallmark_inflammation,score_inflammatory_response_mean,score_inflammatory_response,score_kinase_activity_mean,score_kinase_activity,score_kinase_signalling_mean,score_kinase_signalling,score_metalloprotease_activity_mean,score_metalloprotease_activity,score_neutrophil_activation_mean,score_neutrophil_activation,score_neutrophil_degranulation_mean,score_neutrophil_degranulation,score_rna_datadriven
TCGA-A3-3380-01,7.983442669994351,-5.2374302085984725,7.8903483687209075,-2.4136813707354556,7.88609377032222,1.1835203933714378,8.24292752664651,1.0655626427044984,8.218266717056993,4.316661205299898,6.75398203881019,-0.9186908314168523,7.200677264068919,1.24643633776035,9.316581688186613,0.21665826287587622,0.5573089309158809
TCGA-A3-3382-01,7.811334435853114,-0.17622397009759505,8.086887954948793,0.3636867875484033,7.838663557689331,-3.2681536704049066,8.143245188282735,2.327195315076232,8.008146766221541,2.398376667676414,6.797615802839265,-0.2806969325806134,6.592477722643218,2.575602590543886,8.100349033864102,1.6881967640971025,-0.9751024032481911
TCGA-A3-3383-01,7.656345813911746,12.493797014696044,7.827892024137981,-0.40754489087439827,7.7126380292348795,6.20485482078367,7.778825739323326,-9.526696014734442,7.6820257863772365,-17.594058398636317,6.341600317487694,1.875893897734612,7.148831599266244,-2.5275377241636217,9.441586191271746,-1.9706714311255895,0.42490644431806857
TCGA-A3-3385-01,7.452515968319306,6.514437639859738,6.998599185241045,-12.989293692131552,7.371338712134115,19.904628494939946,7.659177776119832,0.576712178483589,7.575973006995045,-3.5400663288076064,6.415599923320976,4.177315581557365,6.561508590656809,3.1585613677110294,8.11921220927636,1.6904810163038024,2.2611645880440805
TCGA-A3-3387-01,8.011630497487879,-4.824833975201517,8.403228778314183,4.969205453174813,8.049799296784158,-9.607609068437759,8.434490689998157,2.5405909959930404,8.194529433558815,5.951381831469941,6.86386945319231,-1.5809364809257003,7.57369192704653,-3.207124580891852,9.228670163303176,-1.734084461363324,-1.398343698867491
TCGA-A3-A6NI-01,7.908014930162285,2.1694963656076434,7.920477565691687,-1.3342268540950177,7.875801330391319,0.3504267818670254,8.147438636985159,-3.8125418453013262,8.01851078576483,-5.75120880757459,6.722562488399169,-0.35636966028140993,7.283634432447402,-2.250199419018241,9.24745525715142,-1.6552865773276724,-0.3902311688832313
TCGA-A3-A6NJ-01,7.748883596317818,2.84957939868539,8.255709501738924,3.565703525436784,7.914902548612831,-3.489654137604185,8.185136134145884,0.5111559559830988,8.008322450770994,-0.8998883063498162,6.412772319518452,2.4341052188655725,7.33265570531783,-2.0999821361751074,9.001299004011878,-1.2850643548270813,1.8422466032168368
TCGA-A3-A6NL-01,7.900754397416129,0.1692038948689171,8.152145979036819,1.9915581235250555,7.916661294780677,-3.2277137737389485,8.308537724938105,2.2884666074707702,8.169995236614458,5.671514233175171,6.724702412443412,-0.7674814001845746,7.16400722805312,-1.522497607758975,8.889205192854542,-0.8510471558887983,0.6743294572735405
TCGA-A3-A6NN-01,7.916773617121461,-1.9542041463170965,7.913872558845242,-0.8008533741873439,7.900942931546584,-2.3762379483422333,8.421336182648739,3.286048312133889,8.151575946110663,5.404842561673366,6.769712759897237,-0.4267080040430552,6.981099197917489,0.24160801999918113,8.946981709980639,-0.31670032290952266,0.5534993920384499
TCGA-A3-A8CQ-01,7.769042830831511,1.3966162845508925,7.703254151970856,-4.27410724024354,7.705640414418425,5.579126158902935,8.227511030296117,2.8731266785242298,7.995082263137751,3.768464509621947,6.5677878067482975,1.3273662613586212,6.760525967288581,1.7823728585183416,8.767512164729535,0.302558925009521,0.5314917468341726
